 0.0000000  0.0000000
 0.0019531  0.0000000
 0.0058594  0.0000000
 0.0097656  0.0000000
 0.0136719  0.0000000
 0.0175781  0.0000000
 0.0214844  0.0000000
 0.0253906  0.0000000
 0.0292969  0.0000352
 0.0332031  0.0000508
 0.0371094  0.0000664
 0.0410156  0.0000820
 0.0449219  0.0001250
 0.0488281  0.0001484
 0.0527344  0.0001758
 0.0566406  0.0002734
 0.0605469  0.0003437
 0.0644531  0.0005156
 0.0683594  0.0007734
 0.0722656  0.0012852
 0.0761719  0.0020977
 0.0800781  0.0029961
 0.0839844  0.0044648
 0.0878906  0.0063555
 0.0917969  0.0088203
 0.0957031  0.0119492
 0.0996094  0.0157852
 0.1035156  0.0209063
 0.1074219  0.0269609
 0.1113281  0.0341016
 0.1152344  0.0426914
 0.1191406  0.0527617
 0.1230469  0.0647969
 0.1269531  0.0780781
 0.1308594  0.0923164
 0.1347656  0.1075820
 0.1386719  0.1233359
 0.1425781  0.1390156
 0.1464844  0.1536523
 0.1503906  0.1673789
 0.1542969  0.1808203
 0.1582031  0.1936719
 0.1621094  0.2055742
 0.1660156  0.2168008
 0.1699219  0.2266836
 0.1738281  0.2355742
 0.1777344  0.2427422
 0.1816406  0.2487266
 0.1855469  0.2540234
 0.1894531  0.2582305
 0.1933594  0.2611641
 0.1972656  0.2630469
 0.2011719  0.2639687
 0.2050781  0.2642852
 0.2089844  0.2636953
 0.2128906  0.2625820
 0.2167969  0.2604141
 0.2207031  0.2576055
 0.2246094  0.2543633
 0.2285156  0.2511328
 0.2324219  0.2477070
 0.2363281  0.2444453
 0.2402344  0.2420313
 0.2441406  0.2408242
 0.2480469  0.2407734
 0.2519531  0.2419062
 0.2558594  0.2432109
 0.2597656  0.2448242
 0.2636719  0.2465703
 0.2675781  0.2490742
 0.2714844  0.2525469
 0.2753906  0.2557500
 0.2792969  0.2594531
 0.2832031  0.2634766
 0.2871094  0.2679258
 0.2910156  0.2720977
 0.2949219  0.2767305
 0.2988281  0.2813398
 0.3027344  0.2851367
 0.3066406  0.2887656
 0.3105469  0.2914141
 0.3144531  0.2927188
 0.3183594  0.2935547
 0.3222656  0.2940273
 0.3261719  0.2943008
 0.3300781  0.2943086
 0.3339844  0.2934414
 0.3378906  0.2924687
 0.3417969  0.2914531
 0.3457031  0.2911875
 0.3496094  0.2904297
 0.3535156  0.2887578
 0.3574219  0.2866289
 0.3613281  0.2850195
 0.3652344  0.2832148
 0.3691406  0.2806250
 0.3730469  0.2770703
 0.3769531  0.2720469
 0.3808594  0.2668867
 0.3847656  0.2608398
 0.3886719  0.2540195
 0.3925781  0.2455703
 0.3964844  0.2361758
 0.4003906  0.2263164
 0.4042969  0.2159766
 0.4082031  0.2062734
 0.4121094  0.1967578
 0.4160156  0.1873789
 0.4199219  0.1784336
 0.4238281  0.1696992
 0.4277344  0.1608906
 0.4316406  0.1521719
 0.4355469  0.1435469
 0.4394531  0.1359805
 0.4433594  0.1287656
 0.4472656  0.1213516
 0.4511719  0.1149570
 0.4550781  0.1088633
 0.4589844  0.1042070
 0.4628906  0.1005000
 0.4667969  0.0971250
 0.4707031  0.0942812
 0.4746094  0.0925664
 0.4785156  0.0914883
 0.4824219  0.0909375
 0.4863281  0.0910977
 0.4902344  0.0915391
 0.4941406  0.0932031
 0.4980469  0.0953477
 0.5019531  0.0977578
 0.5058594  0.1007148
 0.5097656  0.1042500
 0.5136719  0.1081875
 0.5175781  0.1119805
 0.5214844  0.1163398
 0.5253906  0.1210586
 0.5292969  0.1258203
 0.5332031  0.1311250
 0.5371094  0.1366719
 0.5410156  0.1420586
 0.5449219  0.1472383
 0.5488281  0.1529883
 0.5527344  0.1582656
 0.5566406  0.1645742
 0.5605469  0.1706367
 0.5644531  0.1774922
 0.5683594  0.1848789
 0.5722656  0.1911367
 0.5761719  0.1979609
 0.5800781  0.2050195
 0.5839844  0.2124609
 0.5878906  0.2203281
 0.5917969  0.2289883
 0.5957031  0.2370039
 0.5996094  0.2441016
 0.6035156  0.2504766
 0.6074219  0.2573594
 0.6113281  0.2625391
 0.6152344  0.2670625
 0.6191406  0.2711484
 0.6230469  0.2752109
 0.6269531  0.2788203
 0.6308594  0.2816250
 0.6347656  0.2834961
 0.6386719  0.2855469
 0.6425781  0.2872734
 0.6464844  0.2886758
 0.6503906  0.2902148
 0.6542969  0.2903398
 0.6582031  0.2908945
 0.6621094  0.2903828
 0.6660156  0.2888633
 0.6699219  0.2874453
 0.6738281  0.2854844
 0.6777344  0.2838164
 0.6816406  0.2818008
 0.6855469  0.2793867
 0.6894531  0.2759570
 0.6933594  0.2728359
 0.6972656  0.2687266
 0.7011719  0.2652227
 0.7050781  0.2621094
 0.7089844  0.2591211
 0.7128906  0.2560312
 0.7167969  0.2530156
 0.7207031  0.2497813
 0.7246094  0.2459961
 0.7285156  0.2416680
 0.7324219  0.2379570
 0.7363281  0.2347500
 0.7402344  0.2315977
 0.7441406  0.2283750
 0.7480469  0.2255859
 0.7519531  0.2241211
 0.7558594  0.2231523
 0.7597656  0.2240195
 0.7636719  0.2254609
 0.7675781  0.2282266
 0.7714844  0.2317188
 0.7753906  0.2367031
 0.7792969  0.2412500
 0.7832031  0.2460313
 0.7871094  0.2508906
 0.7910156  0.2560977
 0.7949219  0.2604141
 0.7988281  0.2642305
 0.8027344  0.2664531
 0.8066406  0.2677500
 0.8105469  0.2681250
 0.8144531  0.2664844
 0.8183594  0.2636523
 0.8222656  0.2609648
 0.8261719  0.2562695
 0.8300781  0.2503672
 0.8339844  0.2434961
